name,Protocol,Port Display,firewall rule,firewall ruleid
10.107.42.101(TMSV052V) -> 10.142.36.213 [port:8288],TCP,8288,CATCH_INTEGR_APP_TO_EXTRA,55756
10.107.145.152 -> 10.107.42.101(TMSV052V) [port:137],UDP,137,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 8.238.136.126(US) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:389],UDP,389,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.43.255 [port:137],UDP,137,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.42.98(TMSV019V) [port:139],TCP,139,"CATCH_INTEGR_APP_TO_INTRA, CATCH_INTEGR_INTRA_TO_APP","55752, 63446"
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:445],TCP,445,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:49671],TCP,49671,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 151.86.127.251(IT) [port:6082],TCP,6082,CATCH_APP_TO_INET,55758
10.107.145.151 -> 10.107.42.101(TMSV052V) [port:3389],TCP,3389,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:49677],TCP,49677,CATCH_INTEGR_APP_TO_INTRA,55752
"10.107.42.101(TMSV052V) -> 18.157.55.87(Frankfurt am Main, DE) [port:443]",TCP,443,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:53],TCP,53,CATCH_INTEGR_APP_TO_INTRA,55752
10.102.129.216(02SRV003FV) -> 10.107.42.101(TMSV052V) [port:445],TCP,445,"CATCH_INTEGR_APP_TO_INTRA, CATCH_INTEGR_INTRA_TO_APP","55750, 62106"
10.107.42.101(TMSV052V) -> 13.107.4.50(US) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:389],UDP,389,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:445],TCP,445,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.145.151 -> 10.107.42.101(TMSV052V) [port:135],TCP,135,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:135],TCP,135,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 79.140.81.171(IT) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 79.140.81.176(IT) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:389],TCP,389,CATCH_INTEGR_APP_TO_INTRA,55752
"10.107.42.101(TMSV052V) -> 3.125.91.105(Frankfurt am Main, DE) [port:443]",TCP,443,CATCH_APP_TO_INET,55758
10.107.42.110(TMSV042V) -> 10.107.42.101(TMSV052V) [port:137],UDP,137,"CATCH_INTEGR_APP_TO_INTRA, CATCH_INTEGR_INTRA_TO_APP","55750, 63448"
10.107.42.101(TMSV052V) -> 95.140.230.192(GB) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 192.229.221.95(US) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.145.151 -> 10.107.42.101(TMSV052V) [port:137],UDP,137,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:135],TCP,135,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:88],TCP,88,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:139],TCP,139,CATCH_INTEGR_APP_TO_INTRA,55752
10.102.128.188(02SRV00FC0) -> 10.107.42.101(TMSV052V) [port:135],TCP,135,"CATCH_INTEGR_APP_TO_INTRA, CATCH_INTEGR_INTRA_TO_APP","55750, 62106"
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:139],TCP,139,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.145.152 -> 10.107.42.101(TMSV052V) [port:3389],TCP,3389,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.145.152 -> 10.107.42.101(TMSV052V) [port:135],TCP,135,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:53],TCP,53,CATCH_INTEGR_APP_TO_INTRA,55752
10.102.128.188(02SRV00FC0) -> 10.107.42.101(TMSV052V) [port:3870],TCP,3870,"CATCH_INTEGR_APP_TO_INTRA, CATCH_INTEGR_INTRA_TO_APP","55750, 62106"
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:88],TCP,88,CATCH_INTEGR_APP_TO_INTRA,55752
10.102.128.188(02SRV00FC0) -> 10.107.42.101(TMSV052V) [port:445],TCP,445,"CATCH_INTEGR_APP_TO_INTRA, CATCH_INTEGR_INTRA_TO_APP","55750, 62106"
10.107.42.101(TMSV052V) -> 178.79.225.0 [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.103.190.210(02SRV009GS) -> 10.107.42.101(TMSV052V) [port:445],TCP,445,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:53],UDP,53,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.145.151 -> 10.107.42.101(TMSV052V) [port:445],TCP,445,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 67.27.239.126(US) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 10.107.145.151 [port:389],TCP,389,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:123],UDP,123,CATCH_INTEGR_APP_TO_INTRA,55752
10.131.121.155 -> 10.107.42.101(TMSV052V) [port:80],TCP,80,CATCH_INTEGR_EXTRA_TO_APP,55754
10.107.42.101(TMSV052V) -> 104.77.185.113(US) [port:80],TCP,80,CATCH_APP_TO_INET,55758
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:49667],TCP,49667,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.98(TMSV019V) -> 10.107.42.101(TMSV052V) [port:137],UDP,137,"CATCH_INTEGR_APP_TO_INTRA, CATCH_INTEGR_INTRA_TO_APP","55750, 63448"
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:53],UDP,53,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.145.152 -> 10.107.42.101(TMSV052V) [port:445],TCP,445,CATCH_INTEGR_INTRA_TO_APP,55750
10.107.42.101(TMSV052V) -> 10.107.43.255 [port:138],UDP,138,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.103.188.222 [port:53],UDP,53,CATCH_INTEGR_APP_TO_INTRA,55752
10.107.42.101(TMSV052V) -> 10.107.145.152 [port:88],UDP,88,CATCH_INTEGR_APP_TO_INTRA,55752
10.134.93.175 -> 10.107.42.101(TMSV052V) [port:80],TCP,80,CATCH_INTEGR_EXTRA_TO_APP,55754
